-0.202	0.868	0.337	0.159	0.053	-0.016	-0.075	0.011	-0.033
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.224	-0.014	-0.081	-0.14	-0.096	0.023	0.468	0.766	-0.159
-0.234	-0.474	0.77	0.232	0.072	-0.024	-0.071	0.014	-0.025
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.238	-0.076	-0.164	-0.347	0.849	-0.143	-0.214	0.011	-0.037
-0.087	-0.053	-0.108	-0.204	-0.493	-0.645	-0.452	-0.002	-0.113
-0.235	-0.057	-0.183	-0.364	0.83	-0.132	-0.19	0.017	-0.026
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.233	-0.06	-0.195	-0.377	0.83	-0.137	-0.191	0.002	-0.031
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.231	-0.471	0.775	0.251	0.071	-0.019	-0.058	0.019	-0.02
-0.085	-0.047	-0.118	-0.207	-0.491	-0.621	-0.457	-0.013	-0.109
-0.225	-0.474	0.74	0.259	0.041	-0.004	-0.063	-0.007	-0.001
-0.24	-0.057	-0.175	-0.353	0.847	-0.13	-0.193	0.002	-0.032
-0.225	-0.067	-0.196	-0.365	0.821	-0.133	-0.212	-0.012	-0.032
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.2	0.876	0.355	0.168	0.068	-0.004	-0.07	0.028	-0.028
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.235	-0.055	-0.162	-0.335	0.803	-0.125	-0.206	0.011	-0.035
-0.231	-0.078	-0.188	-0.368	0.827	-0.141	-0.194	0.01	-0.042
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.19	0.866	0.311	0.161	0.024	0	-0.066	-0.026	-0.035
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.235	-0.057	-0.183	-0.364	0.83	-0.132	-0.19	0.017	-0.026
-0.215	-0.062	-0.195	-0.358	0.783	-0.125	-0.21	-0.03	-0.034
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.222	-0.06	-0.207	-0.346	0.769	-0.116	-0.22	-0.047	-0.038
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.205	-0.039	-0.122	-0.148	-0.145	0.041	0.458	0.743	-0.173
-0.204	-0.038	-0.122	-0.144	-0.139	0.037	0.463	0.745	-0.167
-0.222	-0.06	-0.207	-0.346	0.769	-0.116	-0.22	-0.047	-0.038
-0.215	-0.063	-0.196	-0.359	0.783	-0.128	-0.209	-0.03	-0.036
-0.238	-0.076	-0.164	-0.347	0.849	-0.143	-0.214	0.011	-0.037
-0.228	-0.066	-0.182	-0.362	0.832	-0.135	-0.212	-0.01	-0.045
-0.227	-0.033	-0.098	-0.137	-0.067	0.03	0.482	0.778	-0.16
-0.221	-0.063	-0.198	-0.356	0.771	-0.13	-0.214	-0.039	-0.038
-0.237	-0.039	-0.159	-0.357	0.818	-0.138	-0.207	-0.01	-0.031
-0.231	-0.078	-0.188	-0.368	0.827	-0.141	-0.194	0.01	-0.042
-0.241	-0.068	-0.162	-0.338	0.769	-0.136	-0.178	-0.02	-0.028
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.238	-0.076	-0.164	-0.347	0.849	-0.143	-0.214	0.011	-0.037
-0.228	-0.066	-0.182	-0.362	0.832	-0.135	-0.212	-0.01	-0.045
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
-0.236	-0.047	-0.157	-0.348	0.814	-0.135	-0.207	0	-0.033
-0.231	-0.078	-0.188	-0.368	0.827	-0.141	-0.194	0.01	-0.042
-0.235	-0.057	-0.183	-0.364	0.83	-0.132	-0.19	0.017	-0.026
-0.221	-0.031	-0.11	-0.125	-0.147	0.022	0.476	0.744	-0.148
-0.222	-0.06	-0.207	-0.346	0.769	-0.116	-0.22	-0.047	-0.038
-0.129	-0.01	-0.031	-0.023	-0.03	0.009	0.006	-0.018	0.003
